image_name,label,fruit_id,n_locules,unit,fruit_area_cm2,fruit_perimeter_cm,fruit_circularity,fruit_solidity,fruit_convexity,fruit_major_axis_cm,fruit_minor_axis_cm,fruit_box_length_cm,fruit_box_width_cm,fruit_aspect_ratio,fruit_compactness,fruit_lobedness_cm,total_outer_pericarp_area_cm2,outer_pericarp_mean_thickness_cm,outer_pericarp_std_thickness_cm,outer_pericarp_cv_thickness,total_internal_fruit_area_cm2,total_internal_pericarp_area_cm2,total_locules_area_cm2,locules_mean_area_cm2,locules_std_area_cm2,locules_cv_area,locules_mean_circularity,locules_std_circularity,locules_cv_circularity,locules_angular_symmetry,locules_radial_symmetry,outer_pericarp_to_fruit_ratio,internal_pericarp_to_fruit_ratio,internal_pericarp_to_total_internal_ratio,locules_total_area_cm2,locules_to_fruit_ratio,locules_to_total_internal_ratio
cranberry_stamps.jpg,No label detected,1,4,cm,2.6175384947425924,5.756233787127673,0.9927184483047565,1.0,1.0,1.8650562232140053,1.841608326178813,1.814279143374669,1.7902186606630892,0.9867382685848298,0.8059032172891256,0.013090600573415235,1.543930341883224,0.9048865970676725,0.013090600573415231,1.4466564778211919,1.0736081528593684,0.27985242838932467,0.7937557244700437,0.19843893111751093,0.03125354228595124,15.74970299927871,0.6888261245968346,0.04913621406750478,7.133326149071928,0.0534168739760823,2.6870169674851945,0.5898405486621329,0.10691435062040806,0.26066533459529573,0.7937557244700437,0.3032451007174591,0.7393346654047043
cranberry_stamps.jpg,No label detected,2,4,cm,2.2610239635252616,5.3511226098273905,0.99225940771666,1.0,1.0,1.735703413152718,1.6966311139584493,1.6865661011416033,1.6622187459896605,0.9855639484657834,0.8065171789398239,0.013883967539433502,1.382702826657314,0.8390468670370748,0.013883967539433498,1.6547308720026495,0.8783211368679475,0.19182461370365633,0.6864965231642912,0.1716241307910728,0.028887483582788392,16.83183096085402,0.6997773120450154,0.03349599300274779,4.786664618328331,0.07338229376635164,6.071833814180437,0.6115383334997836,0.08483970837910722,0.2183991773073958,0.6864965231642912,0.30362195812110915,0.7816008226926042
cranberry_stamps.jpg,No label detected,3,3,cm,2.0699896807785954,5.121373125999004,0.9917568482129394,1.0,1.0,1.6575104662493962,1.6397092579543342,1.60729703713949,1.6011623090551028,0.9961832020201412,0.8043344644456096,0.01311896440185572,1.1504960645322293,0.8017408999479952,0.013118964401855714,1.6363097358144847,0.9194936162463662,0.16999642536774873,0.7494971908786174,0.24983239695953915,0.08821448124845278,35.30946439373886,0.5493172121636902,0.15569998037135885,28.344274842231236,0.18552308659216243,14.01255536208193,0.5557979709828735,0.08212428638958584,0.18488048461034712,0.7494971908786174,0.3620777426275407,0.8151195153896529
cranberry_stamps.jpg,No label detected,4,4,cm,2.647759245145582,5.796663094872688,0.9902212404376995,1.0,1.0,1.9064084971297734,1.8359323830699903,1.847946741854403,1.7958919040556875,0.971830985915493,0.7978272209748021,0.016956433486122965,1.5609036400547662,0.909320898065341,0.016956433486122958,1.864735927899517,1.0868556050908156,0.22392710448043052,0.8629285006103851,0.21573212515259627,0.062358481889427234,28.905515043398612,0.6887900124918488,0.040063220535912346,5.816463625971415,0.07803205846601591,3.6714019677410454,0.5895187196179322,0.08457230576797338,0.20603206482218914,0.8629285006103851,0.32590897461409435,0.7939679351778108
cranberry_stamps.jpg,No label detected,5,4,cm,2.4566873275914394,5.578560966595194,0.9920084743205716,1.0,1.0,1.8120808349119122,1.7682585935174813,1.7782143662377612,1.7343480354988794,0.9753312471365916,0.7965802201767489,0.013076395587870156,1.5680166186676736,0.875581651343951,0.01307639558787015,1.493452445902547,0.8886707089237658,0.2399218976576042,0.6487488112661616,0.1621872028165404,0.024197110618581028,14.919247757143836,0.6851987448942759,0.05060179837015687,7.384981182060479,0.03626101826114847,1.5430993767849626,0.6382646261317156,0.09766073808538997,0.2699784017278618,0.6487488112661616,0.2640746357828944,0.7300215982721382
cranberry_stamps.jpg,No label detected,6,4,cm,1.992574881801075,5.0251668504630995,0.9915703750702904,1.0,1.0,1.6582368869991813,1.5738089714780361,1.5928734562131763,1.5655189047736062,0.9828269148858808,0.7990520310370223,0.01891953581742117,1.3493583872338415,0.7866064378472578,0.018919535817421163,2.405209887322958,0.6432164945672333,0.17338355804056188,0.4698329365266714,0.11745823413166785,0.027135335608788357,23.102114389332893,0.6708961450898175,0.028776688638975197,4.289291099611649,0.05206110411115161,2.7121989999367977,0.6771933138162244,0.08701482670696002,0.2695570768240594,0.4698329365266714,0.23579185947681555,0.7304429231759406
cranberry_stamps.jpg,No label detected,7,4,cm,2.48777367856637,5.616826138171361,0.9909204027018711,1.0,1.0,1.8292994674217709,1.813910606006148,1.7733346223410265,1.7445311466468305,0.9837574503247607,0.8041581125648701,0.016570618994224004,1.3000567894406714,0.8809799308193733,0.016570618994224,1.8809303611277681,1.1877168891256986,0.26483614020651924,0.9228807489191794,0.23072018722979484,0.006375657407208498,2.763372153845563,0.660287530214566,0.04445498204056445,6.732670239299905,0.023045959023315243,1.6439007228350688,0.5225784003751722,0.10645507768179958,0.22297918184986848,0.9228807489191794,0.37096652194302826,0.7770208181501315
cranberry_stamps.jpg,No label detected,8,4,cm,2.8669819986915495,6.038795355151409,0.9879482708614679,1.0,1.0,1.9968117870297113,1.8897582791074794,1.8977305613262017,1.8885996246849446,0.9951884968143865,0.7999272940464108,0.02250512998668205,1.650888464729171,0.9462412737633186,0.022505129986682068,2.3783712051764963,1.2160935339623784,0.28749229430689227,0.9286012396554861,0.23215030991387153,0.018696783345637447,8.053740420408662,0.6470610353359733,0.06392242137544377,9.878885898646848,0.02208015395913293,3.770414335269353,0.5758279840901036,0.10027697921999501,0.23640639990096868,0.9286012396554861,0.3238950366899014,0.7635936000990313
cranberry_stamps.jpg,No label detected,9,4,cm,2.2764918693977756,5.378211564109862,0.9890089077819317,1.0,1.0,1.7619577942364877,1.6969817291368707,1.7258154668458274,1.6202697080767032,0.9388429639224267,0.8141125206410501,0.020152453674815437,1.359331611214903,0.8421315981658877,0.020152453674815423,2.393029037113233,0.9171602581828726,0.19016868217472527,0.7269915760081473,0.18174789400203684,0.024773044126623563,13.630443567255824,0.6770792198274083,0.04032921304827894,5.956350729322207,0.035190226209796505,3.4714094954551,0.5971168311593844,0.08353584949329627,0.2073450964300369,0.7269915760081473,0.3193473193473193,0.792654903569963
cranberry_stamps.jpg,No label detected,10,4,cm,3.018161020321447,6.188915140775499,0.990200665946378,1.0,1.0,2.0141515427186425,1.9692697125090746,1.9538633034409971,1.9298009673772414,0.9876847392438463,0.8004527663097026,0.016148869447858566,1.6572487471925648,0.9713047141849225,0.016148869447858597,1.662595600744102,1.360912273128882,0.31417537280716523,1.0467369003217168,0.2616842250804292,0.0289399235419652,11.059101301605189,0.6682291049836433,0.01309749162423934,1.9600301044295183,0.1018186563254555,4.383447114090695,0.5490922240510749,0.10409496733004134,0.2308564475539945,1.0467369003217168,0.34681280861888375,0.7691435524460055
cranberry_stamps.jpg,No label detected,11,4,cm,2.69532964179487,5.843967665902039,0.9917589828148048,1.0,1.0,1.90583591609955,1.849912017367849,1.8481290322791284,1.8332247712277765,0.991935486759292,0.7955434073101884,0.017423494323057363,1.609113828431141,0.9178039086695761,0.017423494323057353,1.8983896405839,1.0862158133637287,0.24044878496226396,0.8457670284014648,0.2114417571003662,0.03870371153189252,18.304667943863528,0.659803841365094,0.01181129567665417,1.7901222963808936,0.04687445587781691,3.0727562950258163,0.597000754000391,0.08920941662710491,0.22136373085718244,0.8457670284014648,0.3137898293725041,0.7786362691428176
cranberry_stamps.jpg,No label detected,12,4,cm,2.962423870449931,6.1218135799562265,0.9933375699825197,1.0,1.0,2.015944523063872,1.9249538983031318,1.925013626324703,1.9150325305639202,0.9948150518914305,0.803595016394499,0.019332515670274834,1.7065503449857349,0.9620505207984842,0.019332515670274872,2.00951148118804,1.2558735254641962,0.2516263227825477,1.0042472026816485,0.2510618006704121,0.002981949981199727,1.1877354393368504,0.6833413134331145,0.0523903592699488,7.666792310088649,0.02120434283711295,4.0347002771191836,0.5760655529441656,0.08493933811852888,0.2003596044351214,1.0042472026816485,0.33899510893730544,0.7996403955648786
